CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 1.597656 1570332452.8060
MEM 18.632812 1570332452.9107
MEM 31.320312 1570332453.0133
CHLD 0 7.492188 1570332453.0163
CHLD 1 7.312500 1570332453.0163
CHLD 2 6.953125 1570332453.0163
MEM 31.320312 1570332453.1170
CHLD 0 18.941406 1570332453.1190
CHLD 1 18.886719 1570332453.1190
CHLD 2 18.640625 1570332453.1190
MEM 31.320312 1570332453.2197
CHLD 0 31.332031 1570332453.2217
CHLD 1 33.339844 1570332453.2217
CHLD 2 31.433594 1570332453.2217
MEM 31.320312 1570332453.3235
CHLD 0 31.335938 1570332453.3255
CHLD 1 39.656250 1570332453.3255
CHLD 2 31.433594 1570332453.3255
MEM 31.320312 1570332453.4263
CHLD 0 31.335938 1570332453.4283
CHLD 1 40.781250 1570332453.4283
CHLD 2 31.433594 1570332453.4283
MEM 31.320312 1570332453.5291
CHLD 0 31.335938 1570332453.5311
CHLD 1 41.906250 1570332453.5311
CHLD 2 31.433594 1570332453.5311
MEM 31.320312 1570332453.6313
CHLD 0 31.335938 1570332453.6333
CHLD 1 42.968750 1570332453.6333
CHLD 2 31.433594 1570332453.6333
MEM 31.320312 1570332453.7340
CHLD 0 31.335938 1570332453.7360
CHLD 1 44.093750 1570332453.7360
CHLD 2 31.433594 1570332453.7360
MEM 31.320312 1570332453.8360
CHLD 0 31.335938 1570332453.8380
CHLD 1 45.167969 1570332453.8380
CHLD 2 31.433594 1570332453.8380
MEM 31.320312 1570332453.9383
CHLD 0 31.335938 1570332453.9403
CHLD 1 46.343750 1570332453.9403
CHLD 2 31.433594 1570332453.9403
MEM 31.320312 1570332454.0410
CHLD 0 31.335938 1570332454.0430
CHLD 1 47.464844 1570332454.0430
CHLD 2 31.433594 1570332454.0430
MEM 31.320312 1570332454.1433
CHLD 0 31.335938 1570332454.1453
CHLD 1 48.589844 1570332454.1453
CHLD 2 31.433594 1570332454.1453
MEM 31.320312 1570332454.2460
CHLD 0 31.335938 1570332454.2480
CHLD 1 49.652344 1570332454.2480
CHLD 2 38.367188 1570332454.2480
MEM 31.320312 1570332454.3488
CHLD 0 31.335938 1570332454.3508
CHLD 1 50.714844 1570332454.3508
CHLD 2 39.484375 1570332454.3508
MEM 31.320312 1570332454.4515
CHLD 0 31.335938 1570332454.4535
CHLD 1 51.839844 1570332454.4535
CHLD 2 40.609375 1570332454.4535
MEM 31.320312 1570332454.5542
CHLD 0 31.335938 1570332454.5562
CHLD 1 52.984375 1570332454.5562
CHLD 2 41.796875 1570332454.5562
MEM 31.320312 1570332454.6569
CHLD 0 31.335938 1570332454.6589
CHLD 1 54.109375 1570332454.6589
CHLD 2 42.859375 1570332454.6589
MEM 31.320312 1570332454.7599
CHLD 0 31.335938 1570332454.7619
CHLD 1 55.234375 1570332454.7619
CHLD 2 43.984375 1570332454.7619
MEM 31.320312 1570332454.8623
CHLD 0 31.335938 1570332454.8643
CHLD 1 56.273438 1570332454.8643
CHLD 2 45.109375 1570332454.8643
MEM 31.320312 1570332454.9643
CHLD 0 31.335938 1570332454.9664
CHLD 1 57.421875 1570332454.9664
CHLD 2 46.234375 1570332454.9664
MEM 31.320312 1570332455.0673
CHLD 0 31.335938 1570332455.0692
CHLD 1 58.484375 1570332455.0692
CHLD 2 47.351562 1570332455.0692
MEM 31.320312 1570332455.1700
CHLD 0 31.335938 1570332455.1720
CHLD 1 59.546875 1570332455.1720
CHLD 2 48.472656 1570332455.1720
MEM 31.320312 1570332455.2720
CHLD 0 31.335938 1570332455.2740
CHLD 1 60.652344 1570332455.2740
CHLD 2 49.601562 1570332455.2740
MEM 31.320312 1570332455.3750
CHLD 0 31.335938 1570332455.3770
CHLD 1 61.671875 1570332455.3770
CHLD 2 50.789062 1570332455.3770
MEM 31.320312 1570332455.4771
CHLD 0 31.335938 1570332455.4791
CHLD 1 62.734375 1570332455.4791
CHLD 2 51.929688 1570332455.4791
MEM 31.320312 1570332455.5800
CHLD 0 31.335938 1570332455.5820
CHLD 1 63.859375 1570332455.5820
CHLD 2 53.066406 1570332455.5820
MEM 31.320312 1570332455.6820
CHLD 0 31.335938 1570332455.6840
CHLD 1 64.984375 1570332455.6840
CHLD 2 54.191406 1570332455.6840
MEM 31.320312 1570332455.7841
CHLD 0 31.335938 1570332455.7861
CHLD 1 66.031250 1570332455.7861
CHLD 2 55.316406 1570332455.7861
MEM 31.320312 1570332455.8864
CHLD 0 31.335938 1570332455.8884
CHLD 1 67.234375 1570332455.8884
CHLD 2 56.441406 1570332455.8884
MEM 31.320312 1570332455.9894
CHLD 0 31.335938 1570332455.9914
CHLD 1 68.308594 1570332455.9914
CHLD 2 57.566406 1570332455.9914
MEM 31.320312 1570332456.0924
CHLD 0 31.335938 1570332456.0944
CHLD 1 69.421875 1570332456.0944
CHLD 2 58.691406 1570332456.0944
MEM 31.320312 1570332456.1946
CHLD 0 31.335938 1570332456.1966
CHLD 1 70.523438 1570332456.1966
CHLD 2 59.746094 1570332456.1966
MEM 31.320312 1570332456.2974
CHLD 0 31.335938 1570332456.2994
CHLD 1 71.617188 1570332456.2994
CHLD 2 60.878906 1570332456.2994
MEM 31.320312 1570332456.4001
CHLD 0 31.335938 1570332456.4031
CHLD 1 72.718750 1570332456.4031
CHLD 2 62.000000 1570332456.4031
MEM 31.320312 1570332456.5039
CHLD 0 31.335938 1570332456.5059
CHLD 1 73.851562 1570332456.5059
CHLD 2 62.976562 1570332456.5059
MEM 31.320312 1570332456.6066
CHLD 0 31.335938 1570332456.6086
CHLD 1 75.023438 1570332456.6086
CHLD 2 64.128906 1570332456.6086
MEM 31.320312 1570332456.7090
CHLD 0 31.335938 1570332456.7110
CHLD 1 76.085938 1570332456.7110
CHLD 2 65.316406 1570332456.7110
MEM 31.320312 1570332456.8116
CHLD 0 31.335938 1570332456.8136
CHLD 1 77.242188 1570332456.8136
CHLD 2 66.441406 1570332456.8136
MEM 31.320312 1570332456.9143
CHLD 0 31.335938 1570332456.9173
CHLD 1 78.367188 1570332456.9173
CHLD 2 67.628906 1570332456.9173
MEM 31.320312 1570332457.0180
CHLD 0 31.335938 1570332457.0200
CHLD 1 79.492188 1570332457.0200
CHLD 2 68.753906 1570332457.0200
MEM 31.320312 1570332457.1200
CHLD 0 31.335938 1570332457.1220
CHLD 1 80.554688 1570332457.1220
CHLD 2 69.847656 1570332457.1220
MEM 31.320312 1570332457.2229
CHLD 0 31.335938 1570332457.2249
CHLD 1 81.617188 1570332457.2249
CHLD 2 70.976562 1570332457.2249
MEM 31.320312 1570332457.3252
CHLD 0 31.335938 1570332457.3272
CHLD 1 82.644531 1570332457.3272
CHLD 2 72.042969 1570332457.3272
MEM 31.320312 1570332457.4274
CHLD 0 31.335938 1570332457.4294
CHLD 1 83.804688 1570332457.4294
CHLD 2 73.226562 1570332457.4294
MEM 31.320312 1570332457.5302
CHLD 0 31.335938 1570332457.5322
CHLD 1 84.890625 1570332457.5322
CHLD 2 74.300781 1570332457.5322
MEM 31.320312 1570332457.6322
CHLD 0 31.335938 1570332457.6342
CHLD 1 86.015625 1570332457.6342
CHLD 2 75.414062 1570332457.6342
MEM 31.320312 1570332457.7349
CHLD 0 31.335938 1570332457.7370
CHLD 1 87.140625 1570332457.7370
CHLD 2 76.539062 1570332457.7370
MEM 31.320312 1570332457.8378
CHLD 0 31.335938 1570332457.8398
CHLD 1 88.199219 1570332457.8398
CHLD 2 77.664062 1570332457.8398
MEM 31.320312 1570332457.9407
CHLD 0 31.335938 1570332457.9427
CHLD 1 89.328125 1570332457.9427
CHLD 2 78.824219 1570332457.9427
MEM 31.320312 1570332458.0436
CHLD 0 31.335938 1570332458.0456
CHLD 1 90.453125 1570332458.0456
CHLD 2 79.976562 1570332458.0456
MEM 31.320312 1570332458.1458
CHLD 0 31.335938 1570332458.1478
CHLD 1 91.578125 1570332458.1478
CHLD 2 81.039062 1570332458.1478
MEM 31.320312 1570332458.2480
CHLD 0 31.335938 1570332458.2500
CHLD 1 92.640625 1570332458.2500
CHLD 2 82.164062 1570332458.2500
MEM 31.320312 1570332458.3500
CHLD 0 31.335938 1570332458.3519
CHLD 1 93.746094 1570332458.3519
CHLD 2 83.289062 1570332458.3519
MEM 31.320312 1570332458.4523
CHLD 0 31.335938 1570332458.4542
CHLD 1 94.843750 1570332458.4542
CHLD 2 84.437500 1570332458.4542
MEM 31.320312 1570332458.5550
CHLD 0 31.335938 1570332458.5570
CHLD 1 95.953125 1570332458.5570
CHLD 2 85.566406 1570332458.5570
MEM 31.320312 1570332458.6574
CHLD 0 31.335938 1570332458.6594
CHLD 1 97.078125 1570332458.6594
CHLD 2 86.691406 1570332458.6594
MEM 31.320312 1570332458.7602
CHLD 0 31.335938 1570332458.7632
CHLD 1 98.140625 1570332458.7632
CHLD 2 87.824219 1570332458.7632
MEM 31.320312 1570332458.8639
CHLD 0 31.335938 1570332458.8659
CHLD 1 98.968750 1570332458.8659
CHLD 2 89.066406 1570332458.8659
MEM 31.320312 1570332458.9668
CHLD 0 31.335938 1570332458.9688
CHLD 1 100.140625 1570332458.9688
CHLD 2 90.156250 1570332458.9688
MEM 31.320312 1570332459.0694
CHLD 0 31.335938 1570332459.0714
CHLD 1 101.203125 1570332459.0714
CHLD 2 91.253906 1570332459.0714
MEM 31.320312 1570332459.1721
CHLD 0 31.335938 1570332459.1741
CHLD 1 102.246094 1570332459.1741
CHLD 2 92.378906 1570332459.1741
MEM 31.320312 1570332459.2748
CHLD 0 31.335938 1570332459.2778
CHLD 1 103.390625 1570332459.2778
CHLD 2 93.503906 1570332459.2778
MEM 31.320312 1570332459.3785
CHLD 0 31.335938 1570332459.3805
CHLD 1 104.464844 1570332459.3805
CHLD 2 94.632812 1570332459.3805
MEM 31.320312 1570332459.4813
CHLD 0 31.335938 1570332459.4843
CHLD 1 105.656250 1570332459.4843
CHLD 2 95.816406 1570332459.4843
MEM 31.320312 1570332459.5845
CHLD 0 31.335938 1570332459.5865
CHLD 1 106.750000 1570332459.5865
CHLD 2 96.906250 1570332459.5865
MEM 31.320312 1570332459.6872
CHLD 0 31.335938 1570332459.6892
CHLD 1 107.875000 1570332459.6892
CHLD 2 98.097656 1570332459.6892
MEM 31.320312 1570332459.7900
CHLD 0 31.335938 1570332459.7920
CHLD 1 109.000000 1570332459.7920
CHLD 2 99.195312 1570332459.7920
MEM 31.320312 1570332459.8927
CHLD 0 31.335938 1570332459.8947
CHLD 1 110.125000 1570332459.8947
CHLD 2 100.097656 1570332459.8947
MEM 31.320312 1570332459.9954
CHLD 0 31.335938 1570332459.9974
CHLD 1 111.187500 1570332459.9974
CHLD 2 101.222656 1570332459.9974
MEM 31.320312 1570332460.0982
CHLD 0 31.335938 1570332460.1002
CHLD 1 112.250000 1570332460.1002
CHLD 2 102.363281 1570332460.1002
MEM 31.320312 1570332460.2009
CHLD 0 31.335938 1570332460.2029
CHLD 1 113.308594 1570332460.2029
CHLD 2 103.425781 1570332460.2029
MEM 31.320312 1570332460.3036
CHLD 0 31.335938 1570332460.3056
CHLD 1 114.500000 1570332460.3056
CHLD 2 104.550781 1570332460.3056
MEM 31.320312 1570332460.4064
CHLD 0 31.335938 1570332460.4084
CHLD 1 115.574219 1570332460.4084
CHLD 2 105.660156 1570332460.4084
MEM 31.320312 1570332460.5094
CHLD 0 31.335938 1570332460.5113
CHLD 1 116.718750 1570332460.5113
CHLD 2 106.863281 1570332460.5113
MEM 31.320312 1570332460.6123
CHLD 0 31.335938 1570332460.6143
CHLD 1 117.843750 1570332460.6143
CHLD 2 107.957031 1570332460.6143
MEM 31.320312 1570332460.7150
CHLD 0 31.335938 1570332460.7170
CHLD 1 118.953125 1570332460.7170
CHLD 2 109.113281 1570332460.7170
MEM 31.320312 1570332460.8173
CHLD 0 31.335938 1570332460.8193
CHLD 1 120.046875 1570332460.8193
CHLD 2 110.246094 1570332460.8193
MEM 31.320312 1570332460.9200
CHLD 0 31.335938 1570332460.9220
CHLD 1 121.367188 1570332460.9220
CHLD 2 111.394531 1570332460.9220
MEM 31.320312 1570332461.0230
CHLD 0 31.335938 1570332461.0250
CHLD 1 121.992188 1570332461.0250
CHLD 2 112.500000 1570332461.0250
MEM 31.320312 1570332461.1257
CHLD 0 31.335938 1570332461.1277
CHLD 1 122.000000 1570332461.1277
CHLD 2 113.660156 1570332461.1277
MEM 31.320312 1570332461.2287
CHLD 0 31.335938 1570332461.2306
CHLD 1 122.000000 1570332461.2306
CHLD 2 114.726562 1570332461.2306
MEM 31.320312 1570332461.3311
CHLD 0 31.335938 1570332461.3331
CHLD 1 122.011719 1570332461.3331
CHLD 2 115.847656 1570332461.3331
MEM 31.320312 1570332461.4338
CHLD 0 31.335938 1570332461.4365
CHLD 1 122.011719 1570332461.4365
CHLD 2 116.722656 1570332461.4365
MEM 31.320312 1570332461.5372
CHLD 0 31.335938 1570332461.5392
CHLD 1 122.011719 1570332461.5392
CHLD 2 116.722656 1570332461.5392
MEM 31.320312 1570332461.6400
CHLD 0 31.335938 1570332461.6420
CHLD 1 122.277344 1570332461.6420
CHLD 2 116.726562 1570332461.6420
MEM 31.320312 1570332461.7421
CHLD 0 31.335938 1570332461.7441
CHLD 1 123.464844 1570332461.7441
CHLD 2 116.738281 1570332461.7441
MEM 31.320312 1570332461.8450
CHLD 0 31.335938 1570332461.8470
CHLD 1 124.214844 1570332461.8470
CHLD 2 116.738281 1570332461.8470
MEM 31.320312 1570332461.9470
CHLD 0 31.335938 1570332461.9490
CHLD 1 124.968750 1570332461.9490
CHLD 2 116.738281 1570332461.9490
MEM 31.320312 1570332462.0491
CHLD 0 31.335938 1570332462.0511
CHLD 1 125.718750 1570332462.0511
CHLD 2 116.738281 1570332462.0511
MEM 31.320312 1570332462.1519
CHLD 0 31.335938 1570332462.1550
CHLD 1 126.531250 1570332462.1550
CHLD 2 116.738281 1570332462.1550
MEM 31.320312 1570332462.2555
CHLD 0 31.335938 1570332462.2575
CHLD 1 127.406250 1570332462.2575
CHLD 2 116.738281 1570332462.2575
MEM 31.320312 1570332462.3585
CHLD 0 31.335938 1570332462.3605
CHLD 1 128.093750 1570332462.3605
CHLD 2 116.738281 1570332462.3605
MEM 31.320312 1570332462.4614
CHLD 0 31.335938 1570332462.4634
CHLD 1 128.906250 1570332462.4634
CHLD 2 116.738281 1570332462.4634
MEM 31.320312 1570332462.5636
CHLD 0 31.335938 1570332462.5663
CHLD 1 129.781250 1570332462.5663
CHLD 2 116.738281 1570332462.5663
MEM 31.320312 1570332462.6667
CHLD 0 31.335938 1570332462.6687
CHLD 1 130.718750 1570332462.6687
CHLD 2 116.738281 1570332462.6687
MEM 31.320312 1570332462.7694
CHLD 0 31.335938 1570332462.7714
CHLD 1 131.656250 1570332462.7714
CHLD 2 116.738281 1570332462.7714
MEM 31.320312 1570332462.8722
CHLD 0 31.335938 1570332462.8741
CHLD 1 132.656250 1570332462.8741
CHLD 2 116.738281 1570332462.8741
MEM 31.320312 1570332462.9749
CHLD 0 31.335938 1570332462.9769
CHLD 1 133.656250 1570332462.9769
CHLD 2 116.738281 1570332462.9769
MEM 31.320312 1570332463.0772
CHLD 0 31.335938 1570332463.0792
CHLD 1 134.582031 1570332463.0792
CHLD 2 116.738281 1570332463.0792
MEM 31.320312 1570332463.1800
CHLD 0 31.335938 1570332463.1820
CHLD 1 135.589844 1570332463.1820
CHLD 2 116.738281 1570332463.1820
MEM 31.320312 1570332463.2907
CHLD 0 31.335938 1570332463.2927
CHLD 1 136.718750 1570332463.2927
CHLD 2 116.738281 1570332463.2927
MEM 31.320312 1570332463.3935
CHLD 0 31.335938 1570332463.3955
CHLD 1 137.718750 1570332463.3955
CHLD 2 116.738281 1570332463.3955
MEM 31.320312 1570332463.4956
CHLD 0 31.335938 1570332463.4976
CHLD 1 138.718750 1570332463.4976
CHLD 2 116.738281 1570332463.4976
MEM 31.320312 1570332463.5984
CHLD 0 31.335938 1570332463.6004
CHLD 1 139.792969 1570332463.6004
CHLD 2 116.738281 1570332463.6004
MEM 31.320312 1570332463.7011
CHLD 0 31.335938 1570332463.7031
CHLD 1 140.906250 1570332463.7031
CHLD 2 116.738281 1570332463.7031
MEM 31.320312 1570332463.8038
CHLD 0 31.335938 1570332463.8058
CHLD 1 141.906250 1570332463.8058
CHLD 2 116.738281 1570332463.8058
MEM 31.320312 1570332463.9066
CHLD 0 31.335938 1570332463.9086
CHLD 1 143.031250 1570332463.9086
CHLD 2 116.738281 1570332463.9086
MEM 31.320312 1570332464.0093
CHLD 0 31.335938 1570332464.0123
CHLD 1 144.066406 1570332464.0123
CHLD 2 116.738281 1570332464.0123
MEM 31.320312 1570332464.1129
CHLD 0 31.335938 1570332464.1149
CHLD 1 145.156250 1570332464.1149
CHLD 2 116.738281 1570332464.1149
MEM 31.320312 1570332464.2157
CHLD 0 31.335938 1570332464.2177
CHLD 1 146.218750 1570332464.2177
CHLD 2 116.738281 1570332464.2177
MEM 31.320312 1570332464.3184
CHLD 0 31.335938 1570332464.3204
CHLD 1 147.281250 1570332464.3204
CHLD 2 116.738281 1570332464.3204
MEM 31.320312 1570332464.4211
CHLD 0 31.335938 1570332464.4231
CHLD 1 148.468750 1570332464.4231
CHLD 2 116.738281 1570332464.4231
MEM 31.320312 1570332464.5239
CHLD 0 31.335938 1570332464.5259
CHLD 1 149.535156 1570332464.5259
CHLD 2 116.738281 1570332464.5259
MEM 31.320312 1570332464.6268
CHLD 0 31.335938 1570332464.6288
CHLD 1 150.722656 1570332464.6288
CHLD 2 116.738281 1570332464.6288
MEM 31.320312 1570332464.7290
CHLD 0 31.335938 1570332464.7320
CHLD 1 151.808594 1570332464.7320
CHLD 2 116.738281 1570332464.7320
MEM 31.320312 1570332464.8322
CHLD 0 31.335938 1570332464.8351
CHLD 1 152.972656 1570332464.8351
CHLD 2 116.738281 1570332464.8351
MEM 31.320312 1570332464.9359
CHLD 0 31.335938 1570332464.9379
CHLD 1 154.097656 1570332464.9379
CHLD 2 116.738281 1570332464.9379
MEM 31.320312 1570332465.0388
CHLD 0 31.335938 1570332465.0408
CHLD 1 155.285156 1570332465.0408
CHLD 2 116.738281 1570332465.0408
MEM 31.320312 1570332465.1415
CHLD 0 31.335938 1570332465.1435
CHLD 1 156.410156 1570332465.1435
CHLD 2 116.738281 1570332465.1435
