CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.855469 1570332737.0613
MEM 18.199219 1570332737.1650
MEM 29.117188 1570332737.2673
MEM 31.421875 1570332737.3695
CHLD 0 15.156250 1570332737.3715
CHLD 1 14.906250 1570332737.3715
CHLD 2 14.800781 1570332737.3715
MEM 31.421875 1570332737.4722
CHLD 0 27.664062 1570332737.4742
CHLD 1 27.664062 1570332737.4742
CHLD 2 27.410156 1570332737.4742
MEM 31.421875 1570332737.5750
CHLD 0 31.476562 1570332737.5770
CHLD 1 39.714844 1570332737.5770
CHLD 2 31.410156 1570332737.5770
MEM 31.421875 1570332737.6779
CHLD 0 31.476562 1570332737.6799
CHLD 1 40.792969 1570332737.6799
CHLD 2 31.410156 1570332737.6799
MEM 31.421875 1570332737.7806
CHLD 0 31.476562 1570332737.7826
CHLD 1 41.843750 1570332737.7826
CHLD 2 31.410156 1570332737.7826
MEM 31.421875 1570332737.8829
CHLD 0 31.476562 1570332737.8849
CHLD 1 43.011719 1570332737.8849
CHLD 2 31.410156 1570332737.8849
MEM 31.421875 1570332737.9849
CHLD 0 31.476562 1570332737.9869
CHLD 1 44.074219 1570332737.9869
CHLD 2 31.410156 1570332737.9869
MEM 31.421875 1570332738.0871
CHLD 0 31.476562 1570332738.0901
CHLD 1 45.074219 1570332738.0901
CHLD 2 31.410156 1570332738.0901
MEM 31.421875 1570332738.1909
CHLD 0 31.476562 1570332738.1929
CHLD 1 46.199219 1570332738.1929
CHLD 2 31.410156 1570332738.1929
MEM 31.421875 1570332738.2938
CHLD 0 31.476562 1570332738.2958
CHLD 1 47.261719 1570332738.2958
CHLD 2 31.410156 1570332738.2958
MEM 31.421875 1570332738.3966
CHLD 0 31.476562 1570332738.3986
CHLD 1 48.324219 1570332738.3986
CHLD 2 31.410156 1570332738.3986
MEM 31.421875 1570332738.4987
CHLD 0 31.476562 1570332738.5007
CHLD 1 49.449219 1570332738.5007
CHLD 2 31.410156 1570332738.5007
MEM 31.421875 1570332738.6009
CHLD 0 31.476562 1570332738.6029
CHLD 1 50.511719 1570332738.6029
CHLD 2 39.425781 1570332738.6029
MEM 31.421875 1570332738.7035
CHLD 0 31.476562 1570332738.7055
CHLD 1 51.593750 1570332738.7055
CHLD 2 40.511719 1570332738.7055
MEM 31.421875 1570332738.8058
CHLD 0 31.476562 1570332738.8078
CHLD 1 52.710938 1570332738.8078
CHLD 2 41.636719 1570332738.8078
MEM 31.421875 1570332738.9087
CHLD 0 31.476562 1570332738.9107
CHLD 1 53.792969 1570332738.9107
CHLD 2 42.699219 1570332738.9107
MEM 31.421875 1570332739.0116
CHLD 0 31.476562 1570332739.0146
CHLD 1 54.855469 1570332739.0146
CHLD 2 43.761719 1570332739.0146
MEM 31.421875 1570332739.1153
CHLD 0 31.476562 1570332739.1173
CHLD 1 55.855469 1570332739.1173
CHLD 2 44.824219 1570332739.1173
MEM 31.421875 1570332739.2182
CHLD 0 31.476562 1570332739.2202
CHLD 1 56.878906 1570332739.2202
CHLD 2 45.886719 1570332739.2202
MEM 31.421875 1570332739.3210
CHLD 0 31.476562 1570332739.3230
CHLD 1 57.980469 1570332739.3230
CHLD 2 47.011719 1570332739.3230
MEM 31.421875 1570332739.4234
CHLD 0 31.476562 1570332739.4254
CHLD 1 59.042969 1570332739.4254
CHLD 2 48.074219 1570332739.4254
MEM 31.421875 1570332739.5262
CHLD 0 31.476562 1570332739.5282
CHLD 1 60.105469 1570332739.5282
CHLD 2 49.136719 1570332739.5282
MEM 31.421875 1570332739.6289
CHLD 0 31.476562 1570332739.6309
CHLD 1 61.042969 1570332739.6309
CHLD 2 50.183594 1570332739.6309
MEM 31.421875 1570332739.7316
CHLD 0 31.476562 1570332739.7336
CHLD 1 62.105469 1570332739.7336
CHLD 2 51.261719 1570332739.7336
MEM 31.421875 1570332739.8343
CHLD 0 31.476562 1570332739.8363
CHLD 1 63.113281 1570332739.8363
CHLD 2 52.335938 1570332739.8363
MEM 31.421875 1570332739.9371
CHLD 0 31.476562 1570332739.9391
CHLD 1 64.148438 1570332739.9391
CHLD 2 53.421875 1570332739.9391
MEM 31.421875 1570332740.0398
CHLD 0 31.476562 1570332740.0418
CHLD 1 65.230469 1570332740.0418
CHLD 2 54.542969 1570332740.0418
MEM 31.421875 1570332740.1430
CHLD 0 31.476562 1570332740.1450
CHLD 1 66.292969 1570332740.1450
CHLD 2 55.605469 1570332740.1450
MEM 31.421875 1570332740.2458
CHLD 0 31.476562 1570332740.2488
CHLD 1 67.292969 1570332740.2488
CHLD 2 56.667969 1570332740.2488
MEM 31.421875 1570332740.3490
CHLD 0 31.476562 1570332740.3510
CHLD 1 68.355469 1570332740.3520
CHLD 2 57.714844 1570332740.3520
MEM 31.421875 1570332740.4529
CHLD 0 31.476562 1570332740.4549
CHLD 1 69.386719 1570332740.4549
CHLD 2 58.855469 1570332740.4549
MEM 31.421875 1570332740.5558
CHLD 0 31.476562 1570332740.5578
CHLD 1 70.515625 1570332740.5578
CHLD 2 59.917969 1570332740.5578
MEM 31.421875 1570332740.6581
CHLD 0 31.476562 1570332740.6611
CHLD 1 71.578125 1570332740.6611
CHLD 2 61.042969 1570332740.6611
MEM 31.421875 1570332740.7618
CHLD 0 31.476562 1570332740.7638
CHLD 1 72.640625 1570332740.7638
CHLD 2 61.917969 1570332740.7638
MEM 31.421875 1570332740.8645
CHLD 0 31.476562 1570332740.8675
CHLD 1 73.710938 1570332740.8675
CHLD 2 63.042969 1570332740.8675
MEM 31.421875 1570332740.9684
CHLD 0 31.476562 1570332740.9704
CHLD 1 74.753906 1570332740.9704
CHLD 2 64.105469 1570332740.9704
MEM 31.421875 1570332741.0712
CHLD 0 31.476562 1570332741.0731
CHLD 1 75.828125 1570332741.0731
CHLD 2 65.167969 1570332741.0731
MEM 31.421875 1570332741.1739
CHLD 0 31.476562 1570332741.1759
CHLD 1 76.890625 1570332741.1759
CHLD 2 66.292969 1570332741.1759
MEM 31.421875 1570332741.2766
CHLD 0 31.476562 1570332741.2786
CHLD 1 77.890625 1570332741.2786
CHLD 2 67.355469 1570332741.2786
MEM 31.421875 1570332741.3793
CHLD 0 31.476562 1570332741.3813
CHLD 1 78.953125 1570332741.3813
CHLD 2 68.417969 1570332741.3813
MEM 31.421875 1570332741.4820
CHLD 0 31.476562 1570332741.4840
CHLD 1 80.078125 1570332741.4840
CHLD 2 69.574219 1570332741.4840
MEM 31.421875 1570332741.5858
CHLD 0 31.476562 1570332741.5887
CHLD 1 81.140625 1570332741.5887
CHLD 2 70.636719 1570332741.5887
MEM 31.421875 1570332741.6895
CHLD 0 31.476562 1570332741.6915
CHLD 1 82.140625 1570332741.6915
CHLD 2 71.710938 1570332741.6915
MEM 31.421875 1570332741.7922
CHLD 0 31.476562 1570332741.7942
CHLD 1 83.203125 1570332741.7942
CHLD 2 72.824219 1570332741.7942
MEM 31.421875 1570332741.8950
CHLD 0 31.476562 1570332741.8979
CHLD 1 84.234375 1570332741.8979
CHLD 2 73.886719 1570332741.8979
MEM 31.421875 1570332741.9988
CHLD 0 31.476562 1570332742.0017
CHLD 1 85.328125 1570332742.0017
CHLD 2 74.949219 1570332742.0017
MEM 31.421875 1570332742.1025
CHLD 0 31.476562 1570332742.1045
CHLD 1 86.390625 1570332742.1045
CHLD 2 76.136719 1570332742.1045
MEM 31.421875 1570332742.2052
CHLD 0 31.476562 1570332742.2072
CHLD 1 87.390625 1570332742.2072
CHLD 2 77.230469 1570332742.2072
MEM 31.421875 1570332742.3199
CHLD 0 31.476562 1570332742.3229
CHLD 1 88.640625 1570332742.3229
CHLD 2 78.417969 1570332742.3229
MEM 31.421875 1570332742.4236
CHLD 0 31.476562 1570332742.4256
CHLD 1 89.703125 1570332742.4256
CHLD 2 79.542969 1570332742.4256
MEM 31.421875 1570332742.5265
CHLD 0 31.476562 1570332742.5285
CHLD 1 90.730469 1570332742.5285
CHLD 2 80.667969 1570332742.5285
MEM 31.421875 1570332742.6287
CHLD 0 31.476562 1570332742.6307
CHLD 1 91.828125 1570332742.6307
CHLD 2 81.730469 1570332742.6307
MEM 31.421875 1570332742.7317
CHLD 0 31.476562 1570332742.7337
CHLD 1 92.921875 1570332742.7337
CHLD 2 82.843750 1570332742.7337
MEM 31.421875 1570332742.8338
CHLD 0 31.476562 1570332742.8358
CHLD 1 93.984375 1570332742.8358
CHLD 2 83.980469 1570332742.8358
MEM 31.421875 1570332742.9366
CHLD 0 31.476562 1570332742.9386
CHLD 1 95.031250 1570332742.9386
CHLD 2 85.046875 1570332742.9386
MEM 31.421875 1570332743.0396
CHLD 0 31.476562 1570332743.0416
CHLD 1 96.109375 1570332743.0416
CHLD 2 86.085938 1570332743.0416
MEM 31.421875 1570332743.1419
CHLD 0 31.476562 1570332743.1438
CHLD 1 97.296875 1570332743.1438
CHLD 2 87.171875 1570332743.1438
MEM 31.421875 1570332743.2447
CHLD 0 31.476562 1570332743.2467
CHLD 1 98.046875 1570332743.2467
CHLD 2 88.296875 1570332743.2467
MEM 31.421875 1570332743.3474
CHLD 0 31.476562 1570332743.3494
CHLD 1 99.121094 1570332743.3494
CHLD 2 89.355469 1570332743.3494
MEM 31.421875 1570332743.4495
CHLD 0 31.476562 1570332743.4515
CHLD 1 100.234375 1570332743.4515
CHLD 2 90.484375 1570332743.4515
MEM 31.421875 1570332743.5516
CHLD 0 31.476562 1570332743.5536
CHLD 1 101.234375 1570332743.5536
CHLD 2 91.546875 1570332743.5536
MEM 31.421875 1570332743.6538
CHLD 0 31.476562 1570332743.6558
CHLD 1 102.296875 1570332743.6558
CHLD 2 92.671875 1570332743.6558
MEM 31.421875 1570332743.7568
CHLD 0 31.476562 1570332743.7588
CHLD 1 103.390625 1570332743.7588
CHLD 2 93.796875 1570332743.7588
MEM 31.421875 1570332743.8589
CHLD 0 31.476562 1570332743.8609
CHLD 1 104.429688 1570332743.8609
CHLD 2 94.882812 1570332743.8609
MEM 31.421875 1570332743.9618
CHLD 0 31.476562 1570332743.9638
CHLD 1 105.515625 1570332743.9638
CHLD 2 96.015625 1570332743.9638
MEM 31.421875 1570332744.0643
CHLD 0 31.476562 1570332744.0663
CHLD 1 106.593750 1570332744.0663
CHLD 2 97.015625 1570332744.0663
MEM 31.421875 1570332744.1670
CHLD 0 31.476562 1570332744.1700
CHLD 1 107.593750 1570332744.1700
CHLD 2 98.078125 1570332744.1700
MEM 31.421875 1570332744.2707
CHLD 0 31.476562 1570332744.2727
CHLD 1 108.593750 1570332744.2727
CHLD 2 98.828125 1570332744.2727
MEM 31.421875 1570332744.3736
CHLD 0 31.476562 1570332744.3756
CHLD 1 109.613281 1570332744.3756
CHLD 2 99.992188 1570332744.3756
MEM 31.421875 1570332744.4763
CHLD 0 31.476562 1570332744.4783
CHLD 1 110.667969 1570332744.4783
CHLD 2 101.078125 1570332744.4783
MEM 31.421875 1570332744.5790
CHLD 0 31.476562 1570332744.5810
CHLD 1 111.781250 1570332744.5810
CHLD 2 102.203125 1570332744.5810
MEM 31.421875 1570332744.6818
CHLD 0 31.476562 1570332744.6838
CHLD 1 112.843750 1570332744.6838
CHLD 2 103.328125 1570332744.6838
MEM 31.421875 1570332744.7839
CHLD 0 31.476562 1570332744.7860
CHLD 1 113.906250 1570332744.7860
CHLD 2 104.390625 1570332744.7860
MEM 31.421875 1570332744.8868
CHLD 0 31.476562 1570332744.8898
CHLD 1 114.953125 1570332744.8898
CHLD 2 105.468750 1570332744.8898
MEM 31.421875 1570332744.9905
CHLD 0 31.476562 1570332744.9925
CHLD 1 115.992188 1570332744.9925
CHLD 2 106.613281 1570332744.9925
MEM 31.421875 1570332745.0932
CHLD 0 31.476562 1570332745.0952
CHLD 1 117.062500 1570332745.0952
CHLD 2 107.675781 1570332745.0952
MEM 31.421875 1570332745.1955
CHLD 0 31.476562 1570332745.1975
CHLD 1 118.062500 1570332745.1975
CHLD 2 108.738281 1570332745.1975
MEM 31.421875 1570332745.2982
CHLD 0 31.476562 1570332745.3002
CHLD 1 119.156250 1570332745.3002
CHLD 2 109.773438 1570332745.3002
MEM 31.421875 1570332745.4004
CHLD 0 31.476562 1570332745.4034
CHLD 1 120.218750 1570332745.4034
CHLD 2 110.863281 1570332745.4034
MEM 31.421875 1570332745.5042
CHLD 0 31.476562 1570332745.5071
CHLD 1 121.273438 1570332745.5071
CHLD 2 111.988281 1570332745.5071
MEM 31.421875 1570332745.6079
CHLD 0 31.476562 1570332745.6099
CHLD 1 122.414062 1570332745.6109
CHLD 2 113.039062 1570332745.6109
MEM 31.421875 1570332745.7116
CHLD 0 31.476562 1570332745.7136
CHLD 1 123.476562 1570332745.7136
