CMDLINE c:\users\ty\appdata\local\programs\python\python37\python.exe chompyDriver.py
MEM 0.851562 1570340021.9159
MEM 16.101562 1570340022.0189
MEM 20.199219 1570340022.1217
MEM 26.210938 1570340022.2243
MEM 31.335938 1570340022.3280
CHLD 0 7.332031 1570340022.3350
CHLD 1 7.503906 1570340022.3350
CHLD 2 7.082031 1570340022.3350
CHLD 3 3.640625 1570340022.3350
CHLD 4 6.902344 1570340022.3350
CHLD 5 3.507812 1570340022.3350
CHLD 6 5.750000 1570340022.3350
CHLD 7 1.195312 1570340022.3350
CHLD 8 3.636719 1570340022.3350
MEM 31.367188 1570340022.4367
CHLD 0 13.257812 1570340022.4407
CHLD 1 16.148438 1570340022.4407
CHLD 2 14.820312 1570340022.4407
CHLD 3 14.363281 1570340022.4407
CHLD 4 15.804688 1570340022.4407
CHLD 5 13.433594 1570340022.4407
CHLD 6 14.695312 1570340022.4407
CHLD 7 13.242188 1570340022.4407
CHLD 8 13.242188 1570340022.4407
MEM 31.367188 1570340022.5424
CHLD 0 18.691406 1570340022.5464
CHLD 1 25.421875 1570340022.5474
CHLD 2 19.703125 1570340022.5474
CHLD 3 19.636719 1570340022.5474
CHLD 4 20.347656 1570340022.5474
CHLD 5 19.445312 1570340022.5474
CHLD 6 19.355469 1570340022.5474
CHLD 7 18.316406 1570340022.5474
CHLD 8 19.617188 1570340022.5474
MEM 31.367188 1570340022.6491
CHLD 0 28.015625 1570340022.6541
CHLD 1 31.269531 1570340022.6541
CHLD 2 27.425781 1570340022.6541
CHLD 3 27.914062 1570340022.6541
CHLD 4 30.937500 1570340022.6541
CHLD 5 28.421875 1570340022.6541
CHLD 6 28.480469 1570340022.6541
CHLD 7 27.664062 1570340022.6541
CHLD 8 28.304688 1570340022.6541
MEM 31.367188 1570340022.7548
CHLD 0 31.617188 1570340022.7578
CHLD 1 46.132812 1570340022.7578
CHLD 2 184.023438 1570340022.7578
CHLD 3 99.980469 1570340022.7578
CHLD 4 44.816406 1570340022.7578
CHLD 5 31.511719 1570340022.7578
CHLD 6 31.437500 1570340022.7578
CHLD 7 31.457031 1570340022.7578
CHLD 8 32.816406 1570340022.7578
MEM 31.367188 1570340022.8586
CHLD 0 31.617188 1570340022.8615
CHLD 1 47.066406 1570340022.8615
CHLD 2 184.023438 1570340022.8615
CHLD 3 99.980469 1570340022.8615
CHLD 4 52.046875 1570340022.8615
CHLD 5 31.511719 1570340022.8615
CHLD 6 31.437500 1570340022.8615
CHLD 7 31.457031 1570340022.8615
CHLD 8 40.898438 1570340022.8615
MEM 31.367188 1570340022.9623
CHLD 0 31.617188 1570340022.9653
CHLD 1 48.015625 1570340022.9653
CHLD 2 184.023438 1570340022.9653
CHLD 3 99.980469 1570340022.9653
CHLD 4 78.351562 1570340022.9653
CHLD 5 31.511719 1570340022.9653
CHLD 6 31.437500 1570340022.9653
CHLD 7 31.457031 1570340022.9653
CHLD 8 45.332031 1570340022.9653
MEM 31.367188 1570340023.0660
CHLD 0 31.617188 1570340023.0690
CHLD 1 49.156250 1570340023.0690
CHLD 2 184.023438 1570340023.0690
CHLD 3 99.980469 1570340023.0690
CHLD 4 99.546875 1570340023.0690
CHLD 5 31.511719 1570340023.0690
CHLD 6 31.437500 1570340023.0690
CHLD 7 31.457031 1570340023.0690
CHLD 8 46.218750 1570340023.0690
MEM 31.367188 1570340023.1698
CHLD 0 31.617188 1570340023.1727
CHLD 1 50.105469 1570340023.1727
CHLD 2 184.023438 1570340023.1727
CHLD 3 99.980469 1570340023.1727
CHLD 4 121.523438 1570340023.1727
CHLD 5 31.511719 1570340023.1727
CHLD 6 31.437500 1570340023.1727
CHLD 7 31.457031 1570340023.1727
CHLD 8 47.359375 1570340023.1727
MEM 31.367188 1570340023.2735
CHLD 0 31.617188 1570340023.2765
CHLD 1 50.972656 1570340023.2765
CHLD 2 184.023438 1570340023.2765
CHLD 3 111.250000 1570340023.2765
CHLD 4 125.996094 1570340023.2765
CHLD 5 31.511719 1570340023.2765
CHLD 6 31.437500 1570340023.2765
CHLD 7 31.457031 1570340023.2765
CHLD 8 48.269531 1570340023.2765
MEM 31.367188 1570340023.3772
CHLD 0 31.617188 1570340023.3802
CHLD 1 51.878906 1570340023.3802
CHLD 2 184.023438 1570340023.3802
CHLD 3 100.054688 1570340023.3802
CHLD 4 126.933594 1570340023.3802
CHLD 5 31.511719 1570340023.3802
CHLD 6 31.437500 1570340023.3802
CHLD 7 31.457031 1570340023.3802
CHLD 8 49.187500 1570340023.3802
MEM 31.367188 1570340023.4809
CHLD 0 31.617188 1570340023.4839
CHLD 1 52.828125 1570340023.4839
CHLD 2 184.023438 1570340023.4839
CHLD 3 122.773438 1570340023.4839
CHLD 4 127.820312 1570340023.4839
CHLD 5 31.511719 1570340023.4849
CHLD 6 31.437500 1570340023.4849
CHLD 7 31.457031 1570340023.4849
CHLD 8 50.144531 1570340023.4849
MEM 31.367188 1570340023.5856
CHLD 0 31.617188 1570340023.5886
CHLD 1 53.714844 1570340023.5886
CHLD 2 184.023438 1570340023.5886
CHLD 3 142.585938 1570340023.5886
CHLD 4 128.777344 1570340023.5886
CHLD 5 31.511719 1570340023.5886
CHLD 6 31.437500 1570340023.5886
CHLD 7 31.457031 1570340023.5886
CHLD 8 51.031250 1570340023.5886
MEM 31.367188 1570340023.6894
CHLD 0 31.617188 1570340023.6924
CHLD 1 54.664062 1570340023.6924
CHLD 2 184.023438 1570340023.6924
CHLD 3 162.664062 1570340023.6924
CHLD 4 129.808594 1570340023.6924
CHLD 5 31.511719 1570340023.6924
CHLD 6 31.437500 1570340023.6924
CHLD 7 31.457031 1570340023.6924
CHLD 8 52.199219 1570340023.6924
MEM 31.367188 1570340023.7927
CHLD 0 31.617188 1570340023.7947
CHLD 1 55.531250 1570340023.7947
CHLD 2 184.023438 1570340023.7947
CHLD 3 183.914062 1570340023.7947
CHLD 4 130.746094 1570340023.7947
CHLD 5 33.000000 1570340023.7947
CHLD 6 43.460938 1570340023.7947
CHLD 7 90.378906 1570340023.7957
CHLD 8 53.121094 1570340023.7957
MEM 31.367188 1570340023.8964
CHLD 0 31.617188 1570340023.8994
CHLD 1 56.507812 1570340023.8994
CHLD 2 184.023438 1570340023.8994
CHLD 3 202.910156 1570340023.8994
CHLD 4 131.683594 1570340023.8994
CHLD 5 33.000000 1570340023.8994
CHLD 6 43.460938 1570340023.8994
CHLD 7 90.378906 1570340023.8994
CHLD 8 54.070312 1570340023.8994
MEM 31.367188 1570340024.0096
CHLD 0 31.617188 1570340024.0126
CHLD 1 57.648438 1570340024.0126
CHLD 2 204.171875 1570340024.0126
CHLD 3 218.718750 1570340024.0126
CHLD 4 132.683594 1570340024.0126
CHLD 5 46.328125 1570340024.0126
CHLD 6 43.460938 1570340024.0126
CHLD 7 90.378906 1570340024.0126
CHLD 8 55.296875 1570340024.0126
MEM 31.367188 1570340024.1353
CHLD 0 31.617188 1570340024.1383
CHLD 1 58.562500 1570340024.1383
CHLD 2 268.363281 1570340024.1383
CHLD 3 242.562500 1570340024.1383
CHLD 4 133.808594 1570340024.1383
CHLD 5 46.300781 1570340024.1383
CHLD 6 46.261719 1570340024.1383
CHLD 7 104.218750 1570340024.1383
CHLD 8 56.230469 1570340024.1383
MEM 31.367188 1570340024.2565
CHLD 0 31.617188 1570340024.2595
CHLD 1 59.800781 1570340024.2595
CHLD 2 323.429688 1570340024.2595
CHLD 3 250.945312 1570340024.2595
CHLD 4 134.867188 1570340024.2595
CHLD 5 47.515625 1570340024.2595
CHLD 6 63.914062 1570340024.2595
CHLD 7 146.824219 1570340024.2595
CHLD 8 56.820312 1570340024.2595
MEM 31.367188 1570340024.3916
CHLD 0 31.617188 1570340024.3946
CHLD 1 60.812500 1570340024.3946
CHLD 2 190.789062 1570340024.3946
CHLD 3 268.394531 1570340024.3946
CHLD 4 136.058594 1570340024.3946
CHLD 5 48.750000 1570340024.3946
CHLD 6 79.109375 1570340024.3946
CHLD 7 101.726562 1570340024.3946
CHLD 8 57.433594 1570340024.3946
MEM 31.367188 1570340024.5248
CHLD 0 31.617188 1570340024.5278
CHLD 1 62.015625 1570340024.5278
CHLD 2 204.906250 1570340024.5278
CHLD 3 278.398438 1570340024.5278
CHLD 4 137.246094 1570340024.5278
CHLD 5 49.953125 1570340024.5278
CHLD 6 98.023438 1570340024.5278
CHLD 7 115.238281 1570340024.5278
CHLD 8 58.125000 1570340024.5278
MEM 31.367188 1570340024.6674
CHLD 0 31.617188 1570340024.6704
CHLD 1 63.210938 1570340024.6704
CHLD 2 224.503906 1570340024.6704
CHLD 3 291.484375 1570340024.6704
CHLD 4 138.558594 1570340024.6704
CHLD 5 51.218750 1570340024.6704
CHLD 6 113.644531 1570340024.6704
