Sun Oct 13 17:49:41 2019    etaStats

         32997742 function calls (32997740 primitive calls) in 26.085 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000   26.085   26.085 {built-in method builtins.exec}
        1    0.000    0.000   26.085   26.085 <string>:1(<module>)
        1    0.025    0.025   26.085   26.085 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:145(profileIt)
        1    0.017    0.017   26.039   26.039 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:29(main)
        8    0.001    0.000   25.987    3.248 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:53(expand)
        8    0.168    0.021   24.318    3.040 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:123(nodeInNodes)
   104404    0.159    0.000   23.684    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\eta.py:8(eta)
    59270    0.124    0.000   23.381    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\eta.py:41(etaPrime)
    58548    3.242    0.000   23.171    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\eta.py:49(etaGraph)
  2793963    9.814    0.000    9.814    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:110(dKey)
    58548    1.106    0.000    6.840    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\heritage3.py:6(getChildren)
  2684008    4.408    0.000    5.069    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:15(bite)
   411949    2.840    0.000    2.941    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:208(mirror)
        8    0.087    0.011    0.951    0.119 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:101(gInNewGs)
 11671087    0.694    0.000    0.694    0.000 {built-in method builtins.len}
  2684008    0.480    0.000    0.643    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:74(getM)
   104404    0.389    0.000    0.492    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:149(combineG_L)
       18    0.011    0.001    0.473    0.026 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:195(store)
    58548    0.074    0.000    0.462    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:181(getChoices)
    58548    0.384    0.000    0.384    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:182(<listcomp>)
       18    0.001    0.000    0.381    0.021 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\json\__init__.py:183(dumps)
       18    0.000    0.000    0.380    0.021 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\json\encoder.py:182(encode)
       18    0.377    0.021    0.377    0.021 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\json\encoder.py:204(iterencode)
    33097    0.084    0.000    0.363    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:125(getL)
  5368016    0.344    0.000    0.344    0.000 {built-in method builtins.abs}
  2684008    0.267    0.000    0.267    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:77(getN)
  3099036    0.245    0.000    0.245    0.000 {method 'append' of 'list' objects}
    33097    0.063    0.000    0.236    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:140(<listcomp>)
   156454    0.073    0.000    0.216    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:106(rank)
        8    0.041    0.005    0.190    0.024 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:74(gInGs)
   156454    0.124    0.000    0.133    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:99(inverseRank)
    66194    0.092    0.000    0.092    0.000 {built-in method builtins.min}
    58548    0.071    0.000    0.086    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:173(combineGP_LP)
       18    0.005    0.000    0.064    0.004 {method 'write' of '_io.TextIOWrapper' objects}
        8    0.000    0.000    0.063    0.008 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:120(sortNodes)
        8    0.021    0.003    0.063    0.008 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.059    0.003 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\encodings\cp1252.py:18(encode)
       18    0.059    0.003    0.059    0.003 {built-in method _codecs.charmap_encode}
       12    0.043    0.004    0.043    0.004 {built-in method builtins.print}
   104404    0.019    0.000    0.041    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:121(<lambda>)
   196049    0.037    0.000    0.037    0.000 {method 'copy' of 'list' objects}
   156446    0.031    0.000    0.031    0.000 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:92(file)
   104404    0.022    0.000    0.022    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.021    0.021 C:\Users\hbshr\Documents\programming\chompy\chompy\etaExpansion.py:137(seed)
       20    0.013    0.001    0.019    0.001 {built-in method io.open}
    33097    0.017    0.000    0.017    0.000 {built-in method builtins.max}
        2    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
       63    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.003    0.001 C:\Users\hbshr\Documents\programming\chompy\chompy\util3.py:189(load)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:722(exec_module)
        1    0.000    0.000    0.003    0.003 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\encodings\__init__.py:71(search_function)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        2    0.002    0.001    0.002    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1272(find_spec)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1240(_get_spec)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       20    0.000    0.000    0.001    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:907(__truediv__)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       20    0.000    0.000    0.001    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:694(_make_child)
        8    0.001    0.000    0.001    0.000 {built-in method nt.stat}
       20    0.000    0.000    0.001    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:640(_parse_args)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:63(parse_parts)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\_bootlocale.py:11(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:710(__fspath__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\encodings\cp1252.py:3(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:700(__str__)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:673(_from_parsed_parts)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:403(cached)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:683(_format_parsed_parts)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:145(splitroot)
        2    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\json\__init__.py:299(loads)
       87    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
        2    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\json\decoder.py:332(decode)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
       18    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       20    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:1017(_init)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
       21    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\_bootlocale.py:5(<module>)
       20    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\pathlib.py:101(join_parsed_parts)
       26    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\encodings\cp1252.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 C:\Users\hbshr\AppData\Local\Programs\Python\Python37\lib\encodings\__init__.py:43(normalize_encoding)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
